# 2026-07 账本（管道分隔，一行一笔）
# 格式：日期|类别|条目|金额
2026-07-01|固定|代弟交房租|736.00
2026-07-01|饮食|晚餐|16.00
2026-07-02|饮食|晚餐|16.00
2026-07-03|饮食|晚餐（加班临时吃）|19.60
2026-07-03|饮食|水|8.00
2026-07-04|饮食|牛杂|28.00
2026-07-04|饮食|零食|18.70
2026-07-04|其他|平账（此前漏记支出）|313.31
2026-07-05|饮食|零食|51.90
2026-07-05|饮食|中餐|16.00
2026-07-05|饮食|水|16.00
2026-07-05|饮食|晚餐|16.00
2026-07-06|饮食|早餐|3.00
2026-07-07|饮食|早餐|5.00
2026-07-07|饮食|晚餐|11.10
2026-07-08|饮食|晚餐|39.00
2026-07-08|饮食|零食|88.35
2026-07-08|固定|电费|100.00
2026-07-09|饮食|早餐|5.00
2026-07-09|饮食|晚餐|16.00
2026-07-09|其他|浴袍|153.90
2026-07-10|饮食|早餐|5.00
2026-07-10|饮食|中餐|16.00
2026-07-10|饮食|水|3.85
2026-07-10|饮食|晚餐|16.00
2026-07-10|收入|工资|3304.52
2026-07-11|娱乐|B站充电|25.00
2026-07-12|饮食|早餐|16.00
2026-07-12|其他|洗衣粉|39.80
2026-07-12|其他|垃圾袋|9.80
2026-07-12|饮食|晚餐|16.00
2026-07-12|饮食|夜宵|7.50
2026-07-13|饮食|午餐|16.00
2026-07-13|饮食|晚餐|26.00
2026-07-14|固定|房租水费|1020.00
2026-07-14|其他|补记遗漏（余额差别）|153.64
2026-07-14|饮食|饭票|50.00
2026-07-14|其他|音乐捆绑包（游戏音频资产）|136.44
2026-07-14|其他|VPN|18.00
2026-07-15|饮食|饭票|500.00
2026-07-15|其他|眼罩+枕头|34.60
2026-07-16|其他|鞋子|123.00
2026-07-16|固定|电费（一次性充值）|500.00
2026-07-17|工具|DS API|100.00
2026-07-17|其他|洗衣液|39.00
2026-07-18|其他|生活物资|35.70
2026-07-18|饮食|午餐|16.00
2026-07-18|还贷|招行还款|393.33
2026-07-18|还贷|京东白条|78.32
2026-07-18|饮食|夜宵|26.00
2026-07-19|饮食|晚餐|38.80
2026-07-19|饮食|加餐|16.00
2026-07-19|饮食|夜宵|8.00
2026-07-20|饮食|晚餐|16.00
2026-07-20|饮食|晚餐|7.00
2026-07-22|饮食|夜宵|29.00
